GRAPH_ID,EDGE_ID,FROM_NODE_ID,TO_NODE_ID,FROM_NODE_INDEX,TO_NODE_INDEX,reach_length_m,from_elevation_m,to_elevation_m,reach_elevation_drop_m,reach_slope_raw_m_per_m,reach_slope_m_per_m,SLOPE_QC
Q_61113300,Q_61113300_E0004,Q_61113300_N0001,Q_61113300_N0011,0,10,14028.36546,204.3483429,142.7093048,61.63903809,0.004393885962,0.004393885962,ACCEPT
Q_61113300,Q_61113300_E0006,Q_61113300_N0002,Q_61113300_N0008,1,7,411.7885766,166.7992096,164.458725,2.340484619,0.00568370458,0.00568370458,ACCEPT
Q_61113300,Q_61113300_E0007,Q_61113300_N0003,Q_61113300_N0010,2,9,4834.909518,169.4714508,147.2844543,22.18699646,0.004588916582,0.004588916582,ACCEPT
Q_61113300,Q_61113300_E0008,Q_61113300_N0004,Q_61113300_N0009,3,8,6015.045296,201.7190857,160.7091064,41.00997925,0.00681790032,0.00681790032,ACCEPT
Q_61113300,Q_61113300_E0010,Q_61113300_N0005,Q_61113300_N0007,4,6,823.8878534,225.4007111,209.9133759,15.48733521,0.01879786811,0.01879786811,ACCEPT
Q_61113300,Q_61113300_E0011,Q_61113300_N0006,Q_61113300_N0007,5,6,555.7488962,216.550705,209.9133759,6.637329102,0.01194303605,0.01194303605,ACCEPT
Q_61113300,Q_61113300_E0009,Q_61113300_N0007,Q_61113300_N0008,6,7,9628.333008,209.9133759,164.458725,45.45465088,0.004720926337,0.004720926337,ACCEPT
Q_61113300,Q_61113300_E0005,Q_61113300_N0008,Q_61113300_N0009,7,8,967.4307297,164.458725,160.7091064,3.74961853,0.003875852208,0.003875852208,ACCEPT
Q_61113300,Q_61113300_E0003,Q_61113300_N0009,Q_61113300_N0010,8,9,5277.149641,160.7091064,147.2844543,13.4246521,0.002543921058,0.002543921058,ACCEPT
Q_61113300,Q_61113300_E0002,Q_61113300_N0010,Q_61113300_N0011,9,10,3210.610753,147.2844543,142.7093048,4.575149536,0.001425009099,0.001425009099,ACCEPT
Q_61113300,Q_61113300_E0001,Q_61113300_N0011,Q_61113300_N0012,10,11,2098.344542,142.7093048,137.9459534,4.76335144,0.002270052103,0.002270052103,ACCEPT
Q_61115200,Q_61115200_E0001,Q_61115200_N0001,Q_61115200_N0002,0,1,3795.290954,291.5918884,191.4085999,100.1832886,0.02639673474,0.02639673474,ACCEPT
Q_611E0340,Q_611E0340_E0002,Q_611E0340_N0001,Q_611E0340_N0005,0,4,2111.05108,482.1210022,469.3522644,12.76873779,0.006048521474,0.006048521474,ACCEPT
Q_611E0340,Q_611E0340_E0004,Q_611E0340_N0002,Q_611E0340_N0009,1,8,8638.21917,569.4599609,359.3252258,210.1347351,0.02432616388,0.02432616388,ACCEPT
Q_611E0340,Q_611E0340_E0005,Q_611E0340_N0003,Q_611E0340_N0008,2,7,217.2966327,459.436615,453.0098267,6.42678833,0.02957610641,0.02957610641,ACCEPT
Q_611E0340,Q_611E0340_E0008,Q_611E0340_N0004,Q_611E0340_N0005,3,4,1480.947094,488.9855957,469.3522644,19.6333313,0.01325728068,0.01325728068,ACCEPT
Q_611E0340,Q_611E0340_E0006,Q_611E0340_N0005,Q_611E0340_N0007,4,6,374.97708,469.3522644,466.7299194,2.622344971,0.006993347355,0.006993347355,ACCEPT
Q_611E0340,Q_611E0340_E0009,Q_611E0340_N0006,Q_611E0340_N0007,5,6,6899.996843,575.1154175,466.7299194,108.385498,0.01570805038,0.01570805038,ACCEPT
Q_611E0340,Q_611E0340_E0007,Q_611E0340_N0007,Q_611E0340_N0008,6,7,2382.771344,466.7299194,453.0098267,13.72009277,0.005758040027,0.005758040027,ACCEPT
Q_611E0340,Q_611E0340_E0003,Q_611E0340_N0008,Q_611E0340_N0009,7,8,9317.421029,453.0098267,359.3252258,93.68460083,0.01005477809,0.01005477809,ACCEPT
Q_611E0340,Q_611E0340_E0001,Q_611E0340_N0009,Q_611E0340_N0010,8,9,10931.53693,359.3252258,329.2512512,30.07397461,0.002751120433,0.002751120433,ACCEPT
Q_611E0360,Q_611E0360_E0002,Q_611E0360_N0001,Q_611E0360_N0007,0,6,2048.068351,621.9129028,305.9260254,315.9868774,0.1542853183,0.1542853183,ACCEPT
Q_611E0360,Q_611E0360_E0003,Q_611E0360_N0002,Q_611E0360_N0006,1,5,4626.243828,727.442749,452.2869873,275.1557617,0.05947714213,0.05947714213,ACCEPT
Q_611E0360,Q_611E0360_E0006,Q_611E0360_N0003,Q_611E0360_N0005,2,4,6175.817123,858.6290283,482.3394165,376.2896118,0.0609295263,0.0609295263,ACCEPT
Q_611E0360,Q_611E0360_E0007,Q_611E0360_N0004,Q_611E0360_N0005,3,4,5501.30188,814.2515869,482.3394165,331.9121704,0.0603333861,0.0603333861,ACCEPT
Q_611E0360,Q_611E0360_E0005,Q_611E0360_N0005,Q_611E0360_N0006,4,5,808.5221065,482.3394165,452.2869873,30.0524292,0.03716958257,0.03716958257,ACCEPT
